ID;Nome;DataNascimento;Género;ÁreaResidência;Profissão
921;Fabiana Torres;1987-2-5;F;Setúbal;Trabalhador não qualificado da indústria transformadora
922;Leandro Amaral;1973-11-1;M;Braga;Técnico e profissões afins das ciências da vida, de nível intermédio
923;Erica Silva-Figueiredo;1961-4-1;F;Setúbal;Director de serviços de negócios e de administração
924;Yasmin Leite;1961-7-24;F;Porto;Trabalhador de chapas metálicas, preparador e montador de estruturas metálicas, moldador de metal, soldador e trabalhador similares
925;Miguel Brito;1981-6-6;M;Lisboa;Artista criativo e das artes do espectáculo
926;Amélia Paiva;1992-1-19;F;Porto;Outro pessoal de apoio de tipo administrativo
927;Carlos Nascimento;1979-10-27;M;Setúbal;Operador de instalações, da extracção mineira e de processamento de minerais
928;Diana-Carlota Maia;1985-12-15;F;Lisboa;Artista criativo e das artes do espectáculo
929;Kyara Torres-Loureiro;1980-9-7;F;Porto;Profissional de nível intermédio da saúde
930;Noah do Domingues;1950-10-13;M;Faro;Especialista em engenharia (excepto electrotecnologia)
931;Andreia Martins-Barbosa;1990-8-14;F;Lisboa;Assistente na preparação de refeições
932;Mélanie Lourenço;1969-10-15;F;Braga;Professor dos ensinos universitário e superior
933;Naiara Loureiro;1970-11-30;F;Lisboa;Técnico e assistente de veterinários
934;Marco Marques;1971-9-29;M;Setúbal;Operador de dados, de contabilidade, estatística e serviços financeiros
935;Alícia Esteves-Vaz;1961-11-20;F;Faro;Instalador e reparador de equipamento eléctrico
936;Ângelo Pacheco;1974-1-27;M;Porto;Caixa, penhorista e similares
937;Leonardo Freitas;1965-8-9;M;Faro;Operador de máquinas para o fabrico de produtos têxteis, de pele com pêlo e couro
938;Daniela-Catarina Machado;1975-1-14;F;Faro;Veterinário
939;Bárbara Rocha;1974-8-6;F;Faro;Operador de processamento de texto e dados
940;Joana-Salomé Paiva;1988-1-5;F;Braga;Especialista em medicina tradicional e alternativa
941;Wilson Pires;1961-8-30;M;Faro;Representante do poder legislativo e de órgãos executivos, dirigente superiores da Administração Pública e de organizações especializadas
942;Ricardo Guerreiro;1979-11-28;M;Lisboa;Trabalhador do tratamento da madeira e cortiça, marceneiros e similares
943;Francisca Guerreiro;1961-9-25;F;Setúbal;Director e gerente de hotelaria e restauração
944;Gabriela Macedo;1960-4-17;F;Porto;Trabalhador da recuperação de resíduos
945;Patrícia do Batista;1979-10-11;F;Faro;Director de serviços de negócios e de administração
946;César da Vieira;1972-1-13;M;Porto;Operador de máquinas do fabrico de produtos alimentares e similares
947;Simão Nunes-Tavares;1985-8-11;M;Setúbal;Analista e programador, de software, Web e de aplicações
948;Rita Machado-Baptista;1992-10-9;F;Faro;Oficial das Forças Armadas
949;Adriana Domingues;1989-2-10;F;Braga;Profissional de nível intermédio da medicina tradicional e complementar
950;Gaspar Alves;1985-4-12;M;Lisboa;Agente de compras, de vendas e corretores comerciais
951;Larissa Soares;1982-2-6;F;Braga;Trabalhador de outros ofícios
952;Eduarda Gomes;1969-6-3;F;Porto;Representante do poder legislativo e de órgãos executivos, dirigente superiores da Administração Pública e de organizações especializadas
953;Diogo Jesus;1970-1-17;M;Faro;Trabalhador de limpeza em casas particulares, hotéis e escritórios
954;Clara Baptista;1960-2-6;F;Setúbal;Trabalhador qualificado em acabamentos da construção e similares
955;Violeta Castro;1951-11-29;F;Setúbal;Trabalhador do tratamento da madeira e cortiça, marceneiros e similares
956;Sara Pereira;1980-1-18;F;Lisboa;Operador de equipamentos móveis
957;Lúcia Martins;1970-8-25;F;Faro;Professor dos ensinos universitário e superior
958;Isabela Assunção-Tavares;1985-7-27;F;Lisboa;Especialista em finanças e contabilidade
959;Lourenço Reis;1991-10-7;M;Braga;Empregado de mesa e bar
960;Marcos Martins;1974-8-31;M;Lisboa;Trabalhador qualificado da aquicultura e das pescas; caçador (inclui com armadilha)
961;Soraia Leite;1960-3-27;F;Porto;Agricultor e trabalhador qualificado da agricultura e produção animal combinadas, orientados para o mercado
962;Emanuel Andrade;1990-3-13;M;Porto;Professor dos ensinos universitário e superior
963;Francisca-Isabela Antunes;1964-11-11;F;Porto;Técnico operacional e controlador dos transportes marítimo e aéreo
964;Rafaela Rocha;1975-7-10;F;Porto;Especialista em organização administrativa
965;Kévim Gonçalves;1972-12-26;M;Faro;Pescador, caçador e colector, de subsistência
966;João Branco;1985-9-15;M;Porto;Operador de caixa e venda de bilhetes
967;Martim Castro-Tavares;1951-11-24;M;Lisboa;Motorista de automóveis ligeiros, de carrinhas e condutores de motociclos
968;Patrícia de Vaz;1953-5-1;F;Lisboa;Outro pessoal de apoio de tipo administrativo
969;Bruno Maia-Rodrigues;1964-1-26;M;Braga;Trabalhador não qualificado de apoio, aos transportes e armazenagem
970;Jorge Marques;1997-1-9;M;Braga;Professor dos ensinos básico (2º e 3º ciclos) e secundário
971;Ângela Barros-Magalhães;1965-6-2;F;Braga;Trabalhador da montagem
972;Erika Costa;1982-8-10;F;Lisboa;Agente de compras, de vendas e corretores comerciais
973;Larissa Cunha;1991-3-20;F;Porto;Técnico de operação e controlo de processos industriais
974;Luca Jesus;1966-4-21;M;Faro;Técnico e assistente de veterinários
975;Diogo Azevedo;1964-1-29;M;Faro;Pessoal de recepção e de informação a clientes
976;Lara-Marta Coelho;1953-7-1;F;Setúbal;Mecânico e reparador de máquinas e de veículos
977;Duarte Rodrigues;1972-12-28;M;Faro;Especialista em medicina tradicional e alternativa
978;Sara Barros;1992-4-9;F;Porto;Director de produção na agricultura, produção animal, floresta e pesca
979;Ângelo Cruz;1979-12-10;M;Lisboa;Motorista de veículos pesados e de autocarros
980;Gabriel Rocha;1952-6-11;M;Setúbal;Operador de máquinas para o fabrico de produtos de borracha, plástico e papel
981;Eduarda Gonçalves;1963-12-13;F;Setúbal;Prestador de serviços na rua
982;Kelly de Garcia;1989-4-18;F;Setúbal;Prestador de serviços na rua
983;Benedita Pires;1982-1-8;F;Porto;Trabalhador de limpeza em casas particulares, hotéis e escritórios
984;Raquel Maia;1956-1-14;F;Faro;Caixa, penhorista e similares
985;Afonso Santos;1972-1-30;M;Lisboa;Profissional de nível intermédio da medicina tradicional e complementar
986;Ivo Nascimento;2001-6-14;M;Faro;Trabalhador relacionado com vendas
987;Gabriel Pacheco;1991-7-21;M;Setúbal;Especialista em ciências sociais e religiosas
988;Iara Amaral;1961-11-20;F;Setúbal;Trabalhador não qualificado da indústria extractiva e construção
989;Wilson Barbosa;1977-6-17;M;Braga;Director e gerente de hotelaria e restauração
990;Mélanie Leite-Pires;1980-4-3;F;Lisboa;Engenheiro Informático
991;Nair da Pacheco;1955-8-24;F;Lisboa;Agricultor e trabalhador qualificado da agricultura e produção animal combinadas, orientados para o mercado
992;Joaquim Ferreira;1954-9-18;M;Porto;Operador de instalações, da extracção mineira e de processamento de minerais
993;Santiago Lopes;1955-6-2;M;Lisboa;Profissional de nível intermédio da medicina tradicional e complementar
994;Tomás Fonseca;1951-5-18;M;Setúbal;Operador de caixa e venda de bilhetes
995;Helena Mendes;1955-10-5;F;Braga;Assistente na preparação de refeições
996;Bryan Baptista;1974-11-1;M;Braga;Trabalhador relacionado com vendas
997;Raquel Coelho;1969-2-10;F;Faro;Especialista do ensino
998;Leonardo Castro;1956-11-20;M;Faro;Pintor, limpador de fachadas e similares
999;Íris Pinho;1974-8-21;F;Lisboa;Oficial das Forças Armadas
1000;Tiago Nogueira;1950-7-24;M;Setúbal;Director e gerente de hotelaria e restauração
1001;Mariana Campos;1967-9-14;F;Setúbal;Técnico das ciências físicas e de engenharia
1002;Lourenço Figueiredo;1962-4-10;M;Lisboa;Pintor, limpador de fachadas e similares
1003;Luca Neves;1950-6-10;M;Lisboa;Director de vendas, marketing e de desenvolvimento de negócios
1004;Pilar Amorim;1976-7-30;F;Braga;Especialista do ensino
1005;Matias Gaspar-Costa;1969-4-2;M;Faro;Matemático, actuário, estaticista e demógrafo
1006;Carminho Ramos-Melo;1995-7-25;F;Lisboa;Auxiliar de enfermagem e parteiras
1007;Naiara Gonçalves;1978-2-4;F;Braga;Trabalhador da montagem
1008;Isabel-Emma Lima;1983-2-8;F;Braga;Forjador, serralheiro mecânico e similar
1009;Luciana-Gabriela Antunes;1952-9-13;F;Setúbal;Professor dos ensinos básico (2º e 3º ciclos) e secundário
1010;Jéssica Torres;1984-11-15;F;Braga;Técnico operador das tecnologias de informação e comunicação e de apoio aos utilizadores
1011;Afonso Cruz;1962-11-10;M;Lisboa;Motorista de veículos pesados e de autocarros
1012;Daniela Carvalho;1974-2-14;F;Porto;Técnico das telecomunicações e da radiodifusão
1013;Renata Alves;1988-4-28;F;Braga;Operador de máquinas do fabrico de produtos alimentares e similares
1014;Carlota Soares;1978-8-23;F;Faro;Director e gerente de hotelaria e restauração
1015;Yasmin Vicente;1995-6-4;F;Braga;Especialista do ensino
1016;Luna Esteves;1965-4-4;F;Faro;Engenheiro Informático
1017;Lúcia Araújo-Vieira;1951-2-12;F;Faro;Engenheiro Informático
1018;Denis Jesus;1963-8-15;M;Braga;Operador de máquinas do fabrico de produtos alimentares e similares
1019;Luísa Pinheiro;1989-12-24;F;Braga;Técnico das telecomunicações e da radiodifusão
1020;Dinis Miranda;1973-7-23;M;Braga;Motorista de automóveis ligeiros, de carrinhas e condutores de motociclos
1021;Gustavo Nogueira;1972-7-10;M;Setúbal;Autor, jornalista e linguista
1022;Sandro Barbosa;1953-7-20;M;Lisboa;Técnico de nível intermédio da área financeira e matemática
1023;Júlia Silva;1988-1-13;F;Lisboa;Especialista do ensino
1024;Joana Gomes;1999-7-19;F;Porto;Professor dos ensinos, tecnológico, artístico e profissional
1025;Marco Neves;1970-11-30;M;Faro;Agente de negócios
1026;Patrícia Baptista;1958-4-17;F;Braga;Outras profissões elementares
1027;Mário Jesus;1950-4-11;M;Faro;Operador de instalações de transformação e acabamento, de metais
1028;Inês Marques;1970-8-23;F;Braga;Agricultor e trabalhador qualificado da agricultura e produção animal combinadas, orientados para o mercado
1029;Íris Morais;1951-3-23;F;Lisboa;Operador de dados, de contabilidade, estatística e serviços financeiros
1030;Anita de Pires;1995-7-27;F;Braga;Profissional de nível intermédio da medicina tradicional e complementar
1031;Jaime Silva;1952-8-6;M;Faro;Trabalhador dos serviços pessoais
1032;Mia Vaz-Loureiro;1962-6-22;F;Porto;Especialista em medicina tradicional e alternativa
1033;Renata Teixeira;1989-6-11;F;Braga;Vendedor ambulante (excepto de alimentos)
1034;Mariana Ribeiro-Jesus;1993-6-30;F;Lisboa;Técnico de nível intermédio das actividades culturais, artísticas e culinárias
1035;Irina Maia;1973-8-28;F;Faro;Oficial das Forças Armadas
1036;Tomás Mota;1960-5-31;M;Setúbal;Técnico das ciências físicas e de engenharia
1037;Noa Coelho;1984-8-25;M;Braga;Tripulante de convés de navios e similares
1038;Pedro Nunes;1951-3-26;M;Braga;Trabalhador de chapas metálicas, preparador e montador de estruturas metálicas, moldador de metal, soldador e trabalhador similares
1039;Gustavo Figueiredo;1961-6-2;M;Setúbal;Professor dos ensinos, tecnológico, artístico e profissional
1040;Tatiana Leal;1975-6-2;F;Faro;Operador de máquinas para o fabrico de produtos têxteis, de pele com pêlo e couro
1041;Lúcia Campos;1961-11-13;F;Porto;Oficial das Forças Armadas
1042;Filipe Mota;1957-5-13;M;Faro;Físico, químico e especialista relacionado
1043;Bianca Pereira;1986-9-12;F;Setúbal;Agricultor e trabalhador qualificado de culturas agrícolas de mercado
1044;Carlos Antunes;1991-1-3;M;Porto;Profissional de enfermagem
1045;Camila Rodrigues;1960-12-4;F;Lisboa;Matemático, actuário, estaticista e demógrafo
1046;Bernardo Moura;1991-3-9;M;Lisboa;Técnico e profissões afins das ciências da vida, de nível intermédio
1047;Kyara de Marques;1979-4-7;F;Lisboa;Operador de caixa e venda de bilhetes
1048;Violeta Barbosa;1955-5-6;F;Setúbal;Veterinário
1049;Edgar Pinho;1963-10-6;M;Faro;Técnico de nível intermédio dos serviços jurídicos, sociais e religiosos
1050;Fernando Leite;1956-6-18;M;Braga;Matemático, actuário, estaticista e demógrafo
1051;Renata Faria;1951-5-23;F;Faro;Trabalhador de limpeza de veículos, janelas, roupa e de outra limpeza manual
1052;Luna Fonseca;1960-4-16;F;Setúbal;Instalador e reparadore de equipamentos electrónicos e de telecomunicações
1053;Diogo Baptista-Amaral;1973-6-7;M;Porto;Trabalhador não qualificado de apoio, aos transportes e armazenagem
1054;Lara Monteiro;1959-10-29;F;Faro;Operador de máquinas para o fabrico de produtos têxteis, de pele com pêlo e couro
1055;Mafalda do Jesus;1957-3-28;F;Faro;Arquitecto, urbanista e designer
1056;Bianca Araújo;1970-1-26;F;Setúbal;Motorista de automóveis ligeiros, de carrinhas e condutores de motociclos
1057;Jaime Paiva;1963-5-2;M;Setúbal;Trabalhador relacionado com vendas
1058;Ivan Gonçalves;1985-3-22;M;Porto;Operador de equipamentos móveis
1059;Nicole Guerreiro;1992-10-26;F;Lisboa;Trabalhador qualificado do fabrico de instrumentos de precisão, joalheiros, artesãos e similares
1060;Santiago Moreira;1977-3-5;M;Lisboa;Agente de compras, de vendas e corretores comerciais
1061;Emma-Ema Pinheiro;1963-12-6;F;Braga;Auxiliar de enfermagem e parteiras
1062;Luna da Castro;1981-2-1;F;Setúbal;Técnico das telecomunicações e da radiodifusão
1063;Patrícia Coelho;1984-2-26;F;Porto;Instalador e reparadore de equipamentos electrónicos e de telecomunicações
1064;Simão de Simões;1996-7-10;M;Braga;Trabalhador de cuidados pessoais nos serviços de saúde
1065;Gaspar Mota-Fonseca;1986-11-20;M;Faro;Especialista em assuntos jurídicos
1066;Tiago de Lopes;1995-8-8;M;Porto;Técnico de atividade física e de desporto
1067;Irina Torres;1966-3-9;F;Faro;Professor dos ensinos básico (2º e 3º ciclos) e secundário
1068;Gabriela Mendes;1966-3-28;F;Setúbal;Professor dos ensinos básico (1º ciclo) e educador de infância
1069;Hugo Vaz-Cruz;1995-10-6;M;Faro;Técnico e assistente de veterinários
1070;Íris Coelho;1967-5-1;F;Braga;Técnico operador das tecnologias de informação e comunicação e de apoio aos utilizadores
1071;Nelson Pereira;1952-8-12;M;Faro;Director de vendas, marketing e de desenvolvimento de negócios
1072;Tatiana Rocha;1952-8-9;F;Braga;Operador de processamento de texto e dados
1073;Ricardo Correia;1977-8-6;M;Braga;Auxiliar de educadores de infância e de professores
1074;Teresa Vaz;1977-6-12;F;Lisboa;Matemático, actuário, estaticista e demógrafo
1075;Noa Lima;1962-10-25;M;Lisboa;Técnico de atividade física e de desporto
1076;Bruna Vieira;1971-2-1;F;Braga;Director geral e gestor executivo de empresas
1077;Brian Sousa;1971-1-7;M;Lisboa;Especialista do ensino
1078;Alexandre Macedo;1986-6-22;M;Faro;Professor dos ensinos universitário e superior
1079;Henrique Loureiro;1952-2-13;M;Porto;Trabalhador qualificado do fabrico de instrumentos de precisão, joalheiros, artesãos e similares
1080;Luca Melo;1951-4-17;M;Faro;Técnico de nível intermédio da área financeira e matemática
1081;Violeta Baptista;1987-4-9;F;Setúbal;Caixa, penhorista e similares
1082;Benedita Oliveira;1973-12-24;F;Braga;Criador de animais de subsistência
1083;Alexandre Valente;1961-5-21;M;Braga;Administrativo e secretário especializado
1084;Benjamim Almeida-Guerreiro;1954-4-15;M;Porto;Representante do poder legislativo e de órgãos executivos, dirigente superiores da Administração Pública e de organizações especializadas
1085;Kévim Branco;1982-11-10;M;Porto;Pessoal de recepção e de informação a clientes
1086;Constança Nogueira;1953-8-8;F;Porto;Especialista em finanças e contabilidade
1087;Xavier Batista;1980-9-19;M;Faro;Técnico de operação e controlo de processos industriais
1088;Beatriz Martins;1965-10-5;F;Lisboa;Operador de instalações, da extracção mineira e de processamento de minerais
1089;Henrique Pinho;1956-2-14;M;Braga;Especialista em ciências da vida
1090;Íris Miranda;1982-6-29;F;Lisboa;Motorista de automóveis ligeiros, de carrinhas e condutores de motociclos
1091;Márcio Fonseca;1986-7-21;M;Braga;Técnico de nível intermédio dos serviços jurídicos, sociais e religiosos
1092;Frederico Moreira-Coelho;1984-6-2;M;Lisboa;Professor dos ensinos básico (2º e 3º ciclos) e secundário
1093;Tomás Amorim;1957-4-18;M;Lisboa;Sargento das Forças Armadas
1094;Petra Antunes;1953-8-8;F;Braga;Trabalhador da montagem
1095;Maria Fernandes;1978-10-3;F;Setúbal;Trabalhador qualificado em acabamentos da construção e similares
1096;Adriana Vicente;1964-11-23;F;Setúbal;Trabalhador de limpeza em casas particulares, hotéis e escritórios
1097;Lisandro Baptista;1974-7-23;M;Braga;Técnico e profissões afins das ciências da vida, de nível intermédio
1098;André Lima;1973-3-8;M;Setúbal;Professor dos ensinos, tecnológico, artístico e profissional
1099;Nádia Barros;1975-1-12;F;Faro;Operador de processamento de texto e dados
1100;Nádia Cruz;1986-4-19;F;Porto;Técnico e assistente de veterinários
1101;Benedita Ferreira;1951-11-19;F;Braga;Técnico da medicina e farmácia
1102;Débora-Naiara Pires;1964-3-24;F;Setúbal;Trabalhador de cuidados pessoais nos serviços de saúde
1103;Enzo Reis;1962-11-1;M;Braga;Vendedor ambulante (excepto de alimentos)
1104;Irina-Pilar Carvalho;1954-11-3;F;Lisboa;Autor, jornalista e linguista
1105;Sofia Ferreira;1993-8-5;F;Lisboa;Operador de instalações para o fabrico de papel, para o trabalho da madeira e cortiça
1106;Júlia Abreu;1954-9-28;F;Porto;Especialista em finanças e contabilidade
1107;Rafael Neto;1971-2-13;M;Faro;Representante do poder legislativo e de órgãos executivos, dirigente superiores da Administração Pública e de organizações especializadas
1108;Miriam-Benedita Santos;1972-3-3;F;Setúbal;Produtor e trabalhador qualificado na criação animal
1109;Raquel Nascimento;1963-8-2;F;Lisboa;Agricultor e trabalhador qualificado de culturas agrícolas de mercado
1110;Madalena Machado;1956-2-14;F;Porto;Operador de máquinas para o fabrico de produtos de borracha, plástico e papel
1111;Márcio Macedo;1980-1-19;M;Braga;Trabalhador dos serviços pessoais
1112;Henrique da Torres;1965-8-15;M;Faro;Especialista em engenharia (excepto electrotecnologia)
1113;Nair Magalhães;1952-1-21;F;Braga;Pessoal de recepção e de informação a clientes
1114;Pedro Brito;1954-10-30;M;Setúbal;Engenheiro Informático
1115;Adriana Gomes;1991-6-6;F;Lisboa;Operador de instalações fixas e máquinas
1116;Micael Antunes;1992-1-7;M;Faro;Empregado de escritório em geral
1117;Miguel do Abreu;1968-7-7;M;Braga;Maquinista de locomotivas e similares
1118;Fernando Pinho;1970-11-18;M;Lisboa;Especialista do ensino
1119;Edgar Amorim-Pereira;1975-3-31;M;Lisboa;Auxiliar de enfermagem e parteiras
1120;Nair Morais;1962-11-28;F;Porto;Operador de caixa e venda de bilhetes
1121;Leandro Castro;1993-4-19;M;Braga;Maquinista de locomotivas e similares
1122;Henrique Henriques;1986-2-19;M;Lisboa;Trabalhador qualificado da floresta e similares
1123;Ismael do Faria;1973-2-7;M;Setúbal;Director de produção na agricultura, produção animal, floresta e pesca
1124;Jéssica Ferreira;1957-7-3;F;Lisboa;Maquinista de locomotivas e similares
1125;Isabela Jesus;1958-5-22;F;Lisboa;Trabalhador de cuidados pessoais nos serviços de saúde
1126;Joana Santos;1961-7-30;F;Faro;Director geral e gestor executivo de empresas
1127;Lia Nascimento;1960-11-2;F;Braga;Director dos serviços das tecnologias da informação e comunicação (TIC)
1128;Nádia de Lopes;1951-1-25;F;Setúbal;Especialista em medicina tradicional e alternativa
1129;Manuel Gomes;1974-9-4;M;Setúbal;Trabalhador não qualificado da agricultura, produção animal, pesca e floresta
1130;Rita Domingues;1952-9-7;F;Faro;Mecânico e reparador de máquinas e de veículos
1131;Xavier Neto;1954-2-22;M;Faro;Arquitecto, urbanista e designer
1132;Leonor Moura;1979-2-12;F;Braga;Profissional de nível intermédio da medicina tradicional e complementar
1133;Salomé Loureiro;1977-12-17;F;Porto;Governante doméstico e encarregado de limpeza e de trabalhos domésticos
1134;Maria Neves;1960-9-14;F;Setúbal;Trabalhador da montagem
1135;Francisca Branco-Carvalho;1981-12-24;F;Lisboa;Trabalhador não qualificado da agricultura, produção animal, pesca e floresta
1136;Kevin Sousa;1999-8-22;M;Braga;Engenheiro Informático
1137;Frederico Ramos;1961-12-3;M;Braga;Agricultor de subsistência
1138;Ângela Loureiro;1992-11-20;F;Setúbal;Pescador, caçador e colector, de subsistência
1139;Matilde Nascimento-Carneiro;1980-2-12;F;Faro;Especialista em vendas, marketing e relações públicas
1140;Letícia da Amorim;1961-3-2;F;Porto;Pessoal de recepção e de informação a clientes
1141;Tomé Morais;1972-10-4;M;Braga;Técnico de secretariado
1142;Nicole Monteiro-Esteves;1962-6-29;F;Porto;Trabalhador não qualificado de apoio, aos transportes e armazenagem
1143;Luca Barbosa;1954-3-15;M;Faro;Director de serviços de negócios e de administração
1144;Marta Tavares;1989-1-21;F;Porto;Arquitecto, urbanista e designer
1145;Bryan Alves;1958-2-26;M;Faro;Prestador de serviços na rua
1146;Nair Neves;1990-2-22;F;Porto;Agente de negócios
1147;Martim Batista;1994-5-28;M;Braga;Tripulante de convés de navios e similares
1148;Clara Martins;1977-8-11;F;Setúbal;Analista e programador, de software, Web e de aplicações
1149;Ana Moura;1957-11-13;F;Lisboa;Técnico operacional e controlador dos transportes marítimo e aéreo
1150;Tomé Fonseca-Rocha;1959-1-26;M;Lisboa;Técnico das ciências físicas e de engenharia
1151;Leonardo de Cruz;1967-9-30;M;Setúbal;Tripulante de convés de navios e similares
1152;Jorge Vaz;1978-12-10;M;Braga;Trabalhador de limpeza em casas particulares, hotéis e escritórios
1153;Márcio da Loureiro;1965-4-8;M;Porto;Sargento das Forças Armadas
1154;Larissa Teixeira;1977-5-8;F;Setúbal;Pessoal dos serviços de protecção e segurança
1155;Constança-Ema Freitas;1988-9-17;F;Setúbal;Maquinista de locomotivas e similares
1156;Laura Faria;1984-7-2;F;Lisboa;Trabalhador do tratamento da madeira e cortiça, marceneiros e similares
1157;Petra da Moura;1959-2-1;F;Faro;Produtor e trabalhador qualificado na criação animal
1158;Ângela Sousa;1990-4-19;F;Lisboa;Assistente na preparação de refeições
1159;David Carneiro;1994-3-12;M;Lisboa;Empregado de escritório em geral
1160;Matilde Nogueira-Andrade;1956-6-29;F;Faro;Operador de instalações para o fabrico de papel, para o trabalho da madeira e cortiça
1161;Artur Borges;1982-1-23;M;Faro;Motorista de automóveis ligeiros, de carrinhas e condutores de motociclos
1162;Rita Nunes;1954-2-7;F;Faro;Instalador e reparadore de equipamentos electrónicos e de telecomunicações
1163;Sofia Coelho;1994-3-2;F;Braga;Especialista do ensino
1164;Wilson Soares;1952-7-26;M;Lisboa;Agricultor e trabalhador qualificado de culturas agrícolas de mercado
1165;Gil Santos-Henriques;1984-3-14;M;Faro;Director das indústrias transformadoras, extractivas, da construção, transportes e distribuição
1166;Emanuel Lima;1963-1-9;M;Braga;Técnico da medicina e farmácia
1167;Carlota Barros;1980-1-14;F;Faro;Director das indústrias transformadoras, extractivas, da construção, transportes e distribuição
1168;Daniel Tavares;1977-10-7;M;Porto;Veterinário
1169;Alice do Borges;1981-10-4;F;Faro;Especialista em ciências sociais e religiosas
1170;Tomás Nascimento;1959-11-25;M;Faro;Produtor e trabalhador qualificado na criação animal
1171;Joana do Melo;2000-5-3;F;Lisboa;Agricultor de subsistência
1172;Fábio Matias;1974-11-1;M;Porto;Auxiliar de educadores de infância e de professores
1173;Bárbara Machado;1980-4-28;F;Porto;Director geral e gestor executivo de empresas
1174;Bryan da Brito;1984-9-7;M;Braga;Empregado de escritório em geral
1175;Joel Nascimento;1992-5-6;M;Faro;Especialista em vendas, marketing e relações públicas
1176;Fabiana-Melissa Nascimento;1957-1-26;F;Braga;Pintor, limpador de fachadas e similares
1177;Hugo Amaral;1981-9-1;M;Porto;Engenheiro Informático
1178;Pilar Andrade-Rocha;1974-6-22;F;Lisboa;Operador de instalações para o fabrico de papel, para o trabalho da madeira e cortiça
1179;Lúcia de Marques;1950-10-18;F;Lisboa;Pescador, caçador e colector, de subsistência
1180;Rafael do Nogueira;1974-5-6;M;Braga;Agricultor e trabalhador qualificado de culturas agrícolas de mercado
1181;Carminho Paiva-Simões;1987-10-19;F;Faro;Caixa, penhorista e similares
1182;Fabiana Fernandes;1999-7-13;F;Setúbal;Técnico de nível intermédio das actividades culturais, artísticas e culinárias
1183;Lia Moreira-Anjos;1959-1-1;F;Braga;Trabalhador relacionado com vendas
1184;Nádia Faria;1962-1-26;F;Lisboa;Director de vendas, marketing e de desenvolvimento de negócios
1185;Joaquim Pires;1976-3-22;M;Porto;Trabalhador dos serviços pessoais
1186;Naiara Branco;1960-3-8;F;Lisboa;Engenheiro Informático
1187;Débora Torres;1980-5-14;F;Lisboa;Especialista do ensino
1188;Denis Magalhães;1975-10-15;M;Faro;Analista e programador, de software, Web e de aplicações
1189;Leonardo Santos-Maia;1958-2-15;M;Setúbal;Especialista em ciências da vida
1190;Mélanie Pinheiro;1962-1-28;F;Lisboa;Maquinista de locomotivas e similares
1191;Adriana Correia;1990-10-22;F;Setúbal;Director geral e gestor executivo de empresas
1192;Filipe Rocha;1990-9-2;M;Braga;Profissional de nível intermédio da saúde
1193;Jaime Loureiro;1979-11-22;M;Faro;Representante do poder legislativo e de órgãos executivos, dirigente superiores da Administração Pública e de organizações especializadas
1194;Helena do Cardoso;1964-7-15;F;Braga;Maquinista de locomotivas e similares
1195;Salvador Mendes;1987-1-9;M;Braga;Mecânico e reparador de máquinas e de veículos
1196;Bryan Neves;1954-11-30;M;Braga;Outro pessoal de apoio de tipo administrativo
1197;Mário Marques;1995-10-25;M;Braga;Especialista em base de dados e redes
1198;Luna Barros;1993-11-10;F;Faro;Trabalhador do tratamento da madeira e cortiça, marceneiros e similares
1199;Francisca Barros;1951-2-20;F;Porto;Técnico e profissões afins das ciências da vida, de nível intermédio
1200;Jaime Correia;1968-10-2;M;Faro;Motorista de veículos pesados e de autocarros
1201;Artur Torres;1990-6-5;M;Faro;Profissional de nível intermédio da saúde
1202;Rita Barbosa;1973-3-9;F;Setúbal;Director geral e gestor executivo de empresas
1203;Manuel Amorim;1971-3-16;M;Setúbal;Operador de instalações de transformação e acabamento, de metais
1204;Nuno Andrade;1953-4-4;M;Setúbal;Caixa, penhorista e similares
1205;Débora Cardoso;1981-4-30;F;Faro;Trabalhador qualificado da aquicultura e das pescas; caçador (inclui com armadilha)
1206;Inês Martins;1976-10-20;F;Lisboa;Trabalhador qualificado do fabrico de instrumentos de precisão, joalheiros, artesãos e similares
1207;Lourenço Andrade;1975-5-6;M;Braga;Bibliotecário, arquivista e curador de museus e similares
1208;Pilar Soares;1954-10-29;F;Faro;Analista e programador, de software, Web e de aplicações
1209;Wilson Gomes;1991-6-4;M;Lisboa;Instalador e reparadore de equipamentos electrónicos e de telecomunicações
1210;Victória da Simões;1977-10-27;F;Braga;Trabalhador de outros ofícios
1211;Mário Matias;1991-8-18;M;Faro;Especialista em ciências sociais e religiosas
1212;Sebastião Nogueira;1996-2-7;M;Faro;Agente de nível intermédio da Administração Pública, para aplicação da lei e similares
1213;Tomé Pinho;1987-5-24;M;Porto;Director e gerente de hotelaria e restauração
1214;Ivan Carvalho-Alves;1970-2-15;M;Lisboa;Trabalhador qualificado da construção das estruturas básicas e similares
1215;Samuel Mendes;1999-12-27;M;Lisboa;Operador de processamento de texto e dados
1216;Iara Machado;1980-5-19;F;Setúbal;Profissional de saúde
1217;Leonor-Violeta Branco;1978-12-3;F;Braga;Director das indústrias transformadoras, extractivas, da construção, transportes e distribuição
1218;Caetana da Borges;1950-3-14;F;Porto;Auxiliar de educadores de infância e de professores
1219;Fernando Almeida;1952-11-21;M;Lisboa;Trabalhador da recuperação de resíduos
1220;Edgar Domingues;1992-6-13;M;Setúbal;Director e gerente do comércio a retalho e por grosso
